company_rating,job_title,job_location,company_industry,company_size,company_type,company_sector,company_career_opportunities_rating,company_comp_and_benefits_rating,company_culture_and_values_rating,company_work/life_balance_rating,reviews_by_same_job_pros,reviews_by_same_job_cons,employee_benefit_reviews
3.6,"Branded Content Producer, Business Affairs, Premium Content Production","Santa Monica, CA",Internet & Web Services,10000+ Employees,Company - Public,Information Technology,3.6,3.8,3.5,3.2,"[""Great benefits and that’s it"",""The pay is good"",""Flexible and good work life balance"",""If your manager and team are great, it can be a good company to work for."",""Great culture and can be sustainabrl""]","[""No benefits for VCC contratcs."",""Less pay"",""no work life balance at all"",""Layoffs, manager was arrogant, HR was not responsive, over workload"",""Toxic culture with a \""you are lucky to be employed\"" approach""]","[""Full benefits and scholarship options for career advancement are nice. "",""Benefits are OKAY... Considering they are one of 5 largest companies in the world, they could be a lot better when it comes to monthly premiums, 401k matching, and deductible amounts. If you work as a driver or warehouse worker for more than a year, you can be almost certain that you will be using your medical insurance. No sick days,  all of your PTO accrues by June for the whole year, and its very hard save it for when you really need it during 6-10 weeks of peak season working mandatory 60 hour weeks. "",""Car rentals, hotels, and flights are extremely cheap when searching from internal Amazon benefit site""]"
3.7,Operations Data Analyst (VP),United States,Investment & Asset Management,10000+ Employees,Company - Public,Financial Services,3.7,3.7,3.6,3.5,"[""Good Work Life balance and"",""Culture is good and relatively flat"",""Good benefits with a culture"",""Good pay and leaves"",""Great people and office location""]","[""No work life balance and some difficult colleagues"",""Unrealistic expectations and bad culture"",""Bad benefits."",""Low pay and annoying regulatory hurdles"",""4. Terrible pressure, so attrition rate is very high, even high salary does not ensure good people to stay""]","[""Healthcare is offered at higher price tag"",""Health insurance and PTO vacation "",""Vacation time was reasonable but did not like specific dates blocked""]"
3.4,IT Business Analyst,"Atlanta, GA",Enterprise Software & Network Solutions,10000+ Employees,Company - Public,Information Technology,3.1,3.1,3.3,3.4,"[""The people are great."",""Competitive pay"",""Good working environment, Work life balance."",""Benefits are good, There is opportunity if you can find the time to apply.""]","[""No cons but the fact is the people are still working"",""Low pay"",""Work life balance is a challenge, good amount of nepotism"",""Benefits and Hike is less"",""Bad working hours, bad leadership""]","[""It was just fine, nothing special."",""401 k match is great"",""Limited 401k with matching only once per year.  ""]"
3.8,Senior Software Developer,"Pleasanton, CA",Enterprise Software & Network Solutions,10000+ Employees,Company - Public,Information Technology,3.6,3.4,3.7,4,"[""flexible and good work life balance"",""Good Salary and chill environment"",""Good work culture and policies"",""Good benefits and leave policy"",""good management and team.""]","[""You get too much work life balance and no learning"",""Salary is low and performance is not rewarded"",""bad work culture"",""Less benefits are received."",""bad management forcing return to office""]","[""good perks, benefits in line with market, stock purchasing"",""Good average food nice !"",""Employees pay low cost for health benefits. ""]"
3.7,Operations Data Analyst (VP),United States,Investment & Asset Management,10000+ Employees,Company - Public,Financial Services,3.7,3.7,3.6,3.5,"[""Good Work Life balance and"",""Culture is good and relatively flat"",""Good benefits with a culture"",""Good pay and leaves"",""Great people and office location""]","[""No work life balance and some difficult colleagues"",""Unrealistic expectations and bad culture"",""Bad benefits."",""Low pay and annoying regulatory hurdles"",""4. Terrible pressure, so attrition rate is very high, even high salary does not ensure good people to stay""]","[""Healthcare is offered at higher price tag"",""Health insurance and PTO vacation "",""Vacation time was reasonable but did not like specific dates blocked""]"
4.2,Talent Business Partner,"Raleigh, NC",Food & Beverage Manufacturing,10000+ Employees,Company - Private,Manufacturing,3.6,3.9,4.2,3.7,"[""Good culture and best working environment"",""good benefits, good brand, good history.""]","[""No culture Not Flexible Terrible work environment They lied during recruitment No growth"",""bad management, culture of the office, lack of opportunities"",""Bad management, bad culture, no career gowth"",""Increased pay in some areas of the company""]","[""health insurance is pretty good at red bull"",""Amazing benefits package plus perks "",""Company paid dental, and  vision, Overall health benefit is top notch ith minimal payment from employees. 401k half match after 1 year of employment. Endless amount of benefits including mental health benefits, parenting and family care.""]"
3.7,Operations Data Analyst (VP),United States,Investment & Asset Management,10000+ Employees,Company - Public,Financial Services,3.7,3.7,3.6,3.5,"[""Good Work Life balance and"",""Culture is good and relatively flat"",""Good benefits with a culture"",""Good pay and leaves"",""Great people and office location""]","[""No work life balance and some difficult colleagues"",""Unrealistic expectations and bad culture"",""Bad benefits."",""Low pay and annoying regulatory hurdles"",""4. Terrible pressure, so attrition rate is very high, even high salary does not ensure good people to stay""]","[""Healthcare is offered at higher price tag"",""Health insurance and PTO vacation "",""Vacation time was reasonable but did not like specific dates blocked""]"
3.1,"Software Engineer, Data Platform","Mountain View, CA",Internet & Web Services,51 to 200 Employees,Company - Private,Information Technology,3.2,3.6,3.2,3.4,"[""CEO is mission driven"",""Lots of flexibility and freedom in work.""]","[""CEO is not farsighted."",""Option is a joke when the company cannot move forward and people left like crazy"",""Bad diversity""]","[""The benefits at NewsBreak are very good.  I have a family of four, and the cost for health, vision, dental is very fair."",""Top-tier 401(K) plan with company matching"",""Company is continuously trying to improve on benefits package.""]"
3.9,Analyst Aide Temp Coops - College Students (Business Majors),"New York, NY",Energy & Utilities,10000+ Employees,Company - Public,"Energy, Mining & Utilities",3.9,3.9,3.6,3.7,"[""Good salary, pay, and benefits"",""good pay, looks good on resume"",""Good People"",""Great work life balance and experience.""]","[""Your pay isn't much higher than those you mange."",""Poor work life balance, unrecognized contributions to team"",""Old building with need for renovation""]","[""Excellent Benefits provided for full family medical, prescription, dental and eye care."",""Great 401K Match and company stock options"",""no pension plan available anymore""]"
3.2,Data Analytics Co-op (Spring/Summer 2025),"Seneca Falls, NY",Machinery Manufacturing,10000+ Employees,Company - Public,Manufacturing,3.1,3.3,2.8,3,"[""Generous pay and benefits"",""Diversity of projects, very skilled colleagues"",""Decent hourly Pay for an intern""]",[],"[""The company offers a 401K plan, medical and dental plans and decent leave policies"",""Good overall; no other words"",""Benefits are as one would expect""]"
4,Investment Banking - Consumer & Retail - Analyst,United States,Banking & Lending,10000+ Employees,Company - Public,Financial Services,4,3.9,3.9,3.7,"[""The benefits are great and start less than 30 days after hire date."",""\""The pay is good and is higher than similar telephone sales jobs in the area.\"""",""good work life balance and learning is good"",""Management was good."",""Great WLB and culture""]","[""The benefits are good, but if you struggle with keeping a positive mood, this job can be exhausting."",""Pay is low and depends in what location you’re at in order to hit goals."",""No work life balance and a lot of late nights"",""Poor Management communication when it comes to managers sitting in one location managing people in other locations"",""Toxic culture""]","[""good benefits, generous amount of vacation time for new hires, 401k, perks out side of work."",""Great benefits package as is expected from a company this size. Industry standard across bulge bracket banks\n"",""Best is that they offer them. Worst is the cost ""]"
3.9,Nyutdannet i 2025? Bli en del av landets sterkeste...,Oslo,Business Consulting,1001 to 5000 Employees,Private Practice / Firm,Management & Consulting,3.8,3.5,3.9,3.8,"[""good salary"",""Supportive management and good projects to work on."",""Good enviroment and nice colleagues"",""Good work life balance compared to other consultancies"",""Good culture and a relaxing environment""]","[""low salary and and and"",""Awful management, to avoid totally this company."",""Isolated from European colleagues and flat structure"",""Alot of dependency on you because of smaller size, and less work life balance"",""Terrible pay, bad culture, boring work, not very nice collegaues""]","[""Good benefits good pay and nice people"",""Benefits are good here, no complaints. "",""Benefits are terrific.  Long hours.  ""]"
3.8,Senior Product Manager,United States,"Department, Clothing & Shoe Stores",10000+ Employees,Company - Public,Retail & Wholesale,3.1,3.6,3.8,3.5,"[""Amazing culture, collaborative peers, corporate discount"",""Excellent work life balance very friendly environment"",""Great work life balance and benefits"",""Great compensation and benefits like having the last Friday of every month off""]","[""Some of the worst corporate culture."",""No cons everyone is great""]","[""The flexibility of the job, 401k, and time management"",""Levi's lives its values and offers generous benefits. They consistently offer financial classes, donation matching, women in leadership spotlight and 401k matching at a higher percent than most companies. They truly value their employees with ERG etc..."",""Flexible health insurance options to choose""]"
