reviews_by_same_job_cons,reviews_by_same_job_pros,company_benefits_employer_summary,employee_benefit_reviews
"[""No benefits for VCC contratcs."",""Less pay"",""no work life balance at all"",""Layoffs, manager was arrogant, HR was not responsive, over workload"",""Toxic culture with a \""you are lucky to be employed\"" approach""]","[""Great benefits and that’s it"",""The pay is good"",""Flexible and good work life balance"",""If your manager and team are great, it can be a good company to work for."",""Great culture and can be sustainabrl""]",,"[""Full benefits and scholarship options for career advancement are nice. "",""Benefits are OKAY... Considering they are one of 5 largest companies in the world, they could be a lot better when it comes to monthly premiums, 401k matching, and deductible amounts. If you work as a driver or warehouse worker for more than a year, you can be almost certain that you will be using your medical insurance. No sick days,  all of your PTO accrues by June for the whole year, and its very hard save it for when you really need it during 6-10 weeks of peak season working mandatory 60 hour weeks. "",""Car rentals, hotels, and flights are extremely cheap when searching from internal Amazon benefit site""]"
"[""No work life balance and some difficult colleagues"",""Unrealistic expectations and bad culture"",""Bad benefits."",""Low pay and annoying regulatory hurdles"",""4. Terrible pressure, so attrition rate is very high, even high salary does not ensure good people to stay""]","[""Good Work Life balance and"",""Culture is good and relatively flat"",""Good benefits with a culture"",""Good pay and leaves"",""Great people and office location""]","Citi makes a significant investment to provide valuable benefit programs for all employees around the world.  These include core health, insurance and retirement programs as well as supplementary programs.
Our global benefits philosophy requires that programs should deliver quality benefits and be simple to understand, to access and communicate. Our Live Well at Citi Global Health Strategy, offers best in class wellness programs, tools and resources to help employees lead healthier lives. We strive to inspire accountability, improve health and productivity while managing our healthcare costs. Our programs are designed to support Citi’s values and help to attract, motivate and retain a diverse workforce within a collaborative work environment.","[""Healthcare is offered at higher price tag"",""Health insurance and PTO vacation "",""Vacation time was reasonable but did not like specific dates blocked""]"
"[""No cons but the fact is the people are still working"",""Low pay"",""Work life balance is a challenge, good amount of nepotism"",""Benefits and Hike is less"",""Bad working hours, bad leadership""]","[""The people are great."",""Competitive pay"",""Good working environment, Work life balance."",""Benefits are good, There is opportunity if you can find the time to apply.""]",,"[""It was just fine, nothing special."",""401 k match is great"",""Limited 401k with matching only once per year.  ""]"
"[""You get too much work life balance and no learning"",""Salary is low and performance is not rewarded"",""bad work culture"",""Less benefits are received."",""bad management forcing return to office""]","[""flexible and good work life balance"",""Good Salary and chill environment"",""Good work culture and policies"",""Good benefits and leave policy"",""good management and team.""]","We care about your health and happiness and we want you to be at your best. At Oracle, you’ll enjoy a competitive benefits package with a variety of customizable medical options, savings plans, and wellness programs.
We also don’t think your life should be on hold from Monday to Friday. Generous amounts of time off, flexible work options, and lots of fun employee activities are all an important part of leading a balanced a life.
Hear about flexibility from Leor, one of Oracle’s Karate Club black belts—and make sure to check out some reviews from our employees.","[""good perks, benefits in line with market, stock purchasing"",""Good average food nice !"",""Employees pay low cost for health benefits. ""]"
"[""No work life balance and some difficult colleagues"",""Unrealistic expectations and bad culture"",""Bad benefits."",""Low pay and annoying regulatory hurdles"",""4. Terrible pressure, so attrition rate is very high, even high salary does not ensure good people to stay""]","[""Good Work Life balance and"",""Culture is good and relatively flat"",""Good benefits with a culture"",""Good pay and leaves"",""Great people and office location""]","Citi makes a significant investment to provide valuable benefit programs for all employees around the world.  These include core health, insurance and retirement programs as well as supplementary programs.
Our global benefits philosophy requires that programs should deliver quality benefits and be simple to understand, to access and communicate. Our Live Well at Citi Global Health Strategy, offers best in class wellness programs, tools and resources to help employees lead healthier lives. We strive to inspire accountability, improve health and productivity while managing our healthcare costs. Our programs are designed to support Citi’s values and help to attract, motivate and retain a diverse workforce within a collaborative work environment.","[""Healthcare is offered at higher price tag"",""Health insurance and PTO vacation "",""Vacation time was reasonable but did not like specific dates blocked""]"
"[""No culture Not Flexible Terrible work environment They lied during recruitment No growth"",""bad management, culture of the office, lack of opportunities"",""Bad management, bad culture, no career gowth"",""Increased pay in some areas of the company""]","[""Good culture and best working environment"",""good benefits, good brand, good history.""]",,"[""health insurance is pretty good at red bull"",""Amazing benefits package plus perks "",""Company paid dental, and  vision, Overall health benefit is top notch ith minimal payment from employees. 401k half match after 1 year of employment. Endless amount of benefits including mental health benefits, parenting and family care.""]"
"[""No work life balance and some difficult colleagues"",""Unrealistic expectations and bad culture"",""Bad benefits."",""Low pay and annoying regulatory hurdles"",""4. Terrible pressure, so attrition rate is very high, even high salary does not ensure good people to stay""]","[""Good Work Life balance and"",""Culture is good and relatively flat"",""Good benefits with a culture"",""Good pay and leaves"",""Great people and office location""]","Citi makes a significant investment to provide valuable benefit programs for all employees around the world.  These include core health, insurance and retirement programs as well as supplementary programs.
Our global benefits philosophy requires that programs should deliver quality benefits and be simple to understand, to access and communicate. Our Live Well at Citi Global Health Strategy, offers best in class wellness programs, tools and resources to help employees lead healthier lives. We strive to inspire accountability, improve health and productivity while managing our healthcare costs. Our programs are designed to support Citi’s values and help to attract, motivate and retain a diverse workforce within a collaborative work environment.","[""Healthcare is offered at higher price tag"",""Health insurance and PTO vacation "",""Vacation time was reasonable but did not like specific dates blocked""]"
"[""CEO is not farsighted."",""Option is a joke when the company cannot move forward and people left like crazy"",""Bad diversity""]","[""CEO is mission driven"",""Lots of flexibility and freedom in work.""]",,"[""The benefits at NewsBreak are very good.  I have a family of four, and the cost for health, vision, dental is very fair."",""Top-tier 401(K) plan with company matching"",""Company is continuously trying to improve on benefits package.""]"
"[""Your pay isn't much higher than those you mange."",""Poor work life balance, unrecognized contributions to team"",""Old building with need for renovation""]","[""Good salary, pay, and benefits"",""good pay, looks good on resume"",""Good People"",""Great work life balance and experience.""]",,"[""Excellent Benefits provided for full family medical, prescription, dental and eye care."",""Great 401K Match and company stock options"",""no pension plan available anymore""]"
[],"[""Generous pay and benefits"",""Diversity of projects, very skilled colleagues"",""Decent hourly Pay for an intern""]",,"[""The company offers a 401K plan, medical and dental plans and decent leave policies"",""Good overall; no other words"",""Benefits are as one would expect""]"
